station_id,name,status,address,alternate_name,city_asset_number,property_type,number_of_docks,power_type,footprint_length,footprint_width,notes,council_district,modified_date
3464,Pease Park,closed,1155 Kingsbury St,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2500,Republic Square,closed,425 W 4th Street,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2536,Waller & 6th St.,closed,602 Waller St.,null,null,null,null,null,null,null,null,3,2021-01-04T12:00:00Z
2538,Bullock Museum @ Congress & MLK,closed,1881 Congress Ave.,null,null,null,null,null,null,null,null,1,2021-01-04T12:00:00Z
2541,State Capitol @ 14th & Colorado,closed,206 W. 14th St.,null,null,null,null,null,null,null,null,1,2021-01-04T12:00:00Z
2545,ACC - Rio Grande & 12th,closed,700 W. 12th St.,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2546,ACC - West & 12th Street,closed,1231 West Ave.,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2550,Republic Square @ Guadalupe & 4th St.,closed,Presented by Austin Ventures,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2564,5th & San Marcos,closed,991 East 5th,null,null,null,null,null,null,null,null,3,2021-01-04T12:00:00Z
2576,Rainey @ River St,closed,64 Rainey St,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2712,Toomey Rd @ South Lamar,closed,1301 Toomey Road,null,null,null,null,null,null,null,null,5,2021-01-04T12:00:00Z
3381,East 7th & Pleasant Valley,closed,2772 E 7th,null,null,null,null,null,null,null,null,3,2021-01-04T12:00:00Z
1001,OFFICE/Main/Shop/Repair,active,1000 Brazos,null,null,null,null,null,null,null,null,1,2021-01-04T12:00:00Z
1002,6th & Navasota St.,closed,1308 W. 6th St.,null,null,null,null,null,null,null,null,3,2021-01-04T12:00:00Z
1003,8th & Guadalupe,closed,800 Guadalupe St.,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
1004,Red River & LBJ Library,closed,2322 Red River Street,null,null,null,null,null,null,null,null,1,2021-01-04T12:00:00Z
1005,State Parking Garage @ Brazos & 18th,closed,1789 Brazos St.,null,null,null,null,null,null,null,null,1,2021-01-04T12:00:00Z
1006,Zilker Park West,closed,Barton Springs Rd,null,null,null,null,null,null,null,null,8,2021-01-04T12:00:00Z
1007,Lavaca & 6th,closed,601 Lavaca St.,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
1008,Nueces @ 3rd,closed,311 Nueces,null,null,null,null,null,null,null,null,9,2021-01-04T12:00:00Z
2502,Barton Springs & Riverside,closed,400 Barton Springs Rd.,null,null, ,null, ,null,null,moved to Pedernales/2nd. Original city ID: 16729,9,2021-01-04T12:00:00Z
3687,Boardwalk West,active,300 E. Riverside Dr.,null,16683,parkland,9,solar,30,5.0,null,9,2021-01-04T12:00:00Z
3684,Congress & Cesar Chavez,active,124 W Cesar Chavez St,null,32594,parkland,11,solar,35,5.0,parkland at ROW/easement,9,2021-01-04T12:00:00Z
2572,Barton Springs Pool,active,2200 William Barton Dr.,null,16758,parkland,13,solar,40,5.0,null,8,2021-01-04T12:00:00Z
2575,Riverside @ S. Lamar,active,Presented by Austin Parks Foundation,null,16736,parkland,15,solar,45,5.0,parkland at ROW/easement,5,2021-01-04T12:00:00Z
2574,Zilker Park,active,Barton Springs Rd,Zilker Park at Barton Springs and William Burton Drive,16759,parkland,17,solar,50,5.0,parkland at ROW/easement,8,2021-01-04T12:00:00Z
2707,Rainey St @ Cummings,active,1 Rainey St,null,16597,parkland,17,solar,50,5.0,parkland at ROW/easement,9,2021-01-04T12:00:00Z
4699,East 5th/Shady @ Eastside Bus Plaza,active,5104 East 5th. Street,null,32522,sidewalk,10,solar,15,10.0,null,3,2021-07-27T08:25:00Z
2570,South Congress & Academy,active,1199 S. Congress Ave.,null,16752,sidewalk,10,solar,20,7.5,on bulb-out,9,2021-01-04T12:00:00Z
2496,8th & Congress,active,111 E. 8th St.,null,16725,sidewalk,14,solar,20,7.5,double sided,9,2021-01-04T12:00:00Z
3294,Lavaca & 6th,active,619 Guadalupe St.,null,32515,sidewalk,12,solar,25,7.5,"double sided, remeasure",9,2021-01-04T12:00:00Z
2497,Capitol Station / Congress & 11th,active,1090 Congress Ave.,null,16735,sidewalk,18,solar,25,7.5,double sided,1,2021-01-04T12:00:00Z
4047,8th & Lavaca,active,750 Lavaca Street,null,32710,sidewalk,9,solar,25,5.0,null,9,2021-01-04T12:00:00Z
2503,South Congress & James,active,Presented by The Austin Chronicle,null,16730,sidewalk,9,solar,26,7.5,on bulb-out,9,2021-01-04T12:00:00Z
2711,Barton Springs @ Kinney Ave,active,1530 Barton Springs Road,null,16599,sidewalk,16,solar,30,7.5,2-sided station on pad adjacent to sidewalk in ROW/easement,5,2021-01-04T12:00:00Z
2565,Trinity & 6th Street,active,606 Trinity Street,null,16763,sidewalk,11,solar,30,5.0,null,9,2021-01-04T12:00:00Z
3619,6th & Congress,active,600 Congress Ave.,Congress & 6th Street,16743,sidewalk,11,solar,30,5.0,remeasure,9,2021-01-04T12:00:00Z
3798,21st & Speedway @PCL,active,E. 21st St.,null,32675,sidewalk,22,solar,30,7.5,On UT property-2 sided,9,2021-01-04T12:00:00Z
3799,23rd & San Jacinto @ DKR Stadium,active,E. 23rd St.,null,32676,sidewalk,22,solar,30,7.5,On UT property-2 sided,1,2021-01-04T12:00:00Z
3291,11th & San Jacinto,active,310 E. 11th St.,null,32503,sidewalk,11,solar,35,5.0,null,1,2021-01-04T12:00:00Z
2539,Convention Center / 3rd & Trinity,active,212 Trinity,null,16747,sidewalk,12,solar,35,5.0,null,9,2021-01-04T12:00:00Z
2571,Red River & 8th Street,active,761 Red River St.,null,16760,sidewalk,13,solar,40,5.0,on pad built in ROW/easement,9,2021-01-04T12:00:00Z
2542,Plaza Saltillo,active,1501 E. 5th St.,null,16746,sidewalk,12,solar,40,5.0,on station plaza,3,2021-01-04T12:00:00Z
2549,Long Center @ South 1st & Riverside,active,Presented by Austin Energy,null,16750,sidewalk,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
2561,State Capitol Visitors Garage @ San Jacinto & 12th,active,1201 San Jacinto Blvd.,null,16764,sidewalk,13,solar,40,5.0,state property?,1,2021-01-04T12:00:00Z
3455,Republic Square @ 5th & Guadalupe,active,Federal Courthouse Plaza,null,16741,sidewalk,13,non-metered,40,5.0,null,9,2021-01-04T12:00:00Z
3513,South Congress & Barton Springs at the Austin American-Statesman,active,305 S. Congress Ave.,null,16745,sidewalk,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
3790,Lake Austin Blvd @ Deep Eddy,active,2401 Lake Austin Blvd,null,32673,sidewalk,13,solar,40,5.0,null,10,2021-01-04T12:00:00Z
4060,Red River/Cesar Chavez @ The Fairmont,active,101 Red River St.,null,32691,sidewalk,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
2567,Palmer Auditorium,active,900 Barton Springs Rd.,null,16753,sidewalk,15,solar,45,5.0,adjacent to parkland,9,2021-01-04T12:00:00Z
2498,Convention Center / 4th St. @ MetroRail,active,499 E. 4th St,null,16734,sidewalk,17,non-metered,50,5.0,moving soon when CapMetro Station work complete,9,2021-01-04T12:00:00Z
2566,Pfluger Bridge @ W 2nd Street,active,Presented by Austin Parks Foundation,null,16762,sidewalk,19,solar,55,5.0,adjacent to parkland,9,2021-01-04T12:00:00Z
2499,City Hall / Lavaca & 2nd,active,Presented by Graves Dougherty Hearon & Moody,null,16732,sidewalk,19,solar,55,5.0,check dock #-18?,9,2021-01-04T12:00:00Z
3621,Nueces & 3rd,active,311 Nueces St.,null,16742,paid_parking,11,solar,35,5.0,null,9,2021-01-04T12:00:00Z
3390,Brazos & 6th,active,585 Brazos St.,null,16754,paid_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
