trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
23455589,Local365,174,2021-01-26 17:47:42 UTC,4059.0,Nash Hernandez/East @ RBJ South,3660,East 6th/Medina,7
23459960,Local365,19265,2021-01-28 08:03:52 UTC,4054.0,Rosewood/Chicon,4055,11th/Salina ,16
23436548,Local365,18331,2021-01-21 07:09:48 UTC,4055.0,11th/Salina ,4055,11th/Salina ,25
23382542,Local365,19682,2021-01-04 09:38:18 UTC,4062.0,Lakeshore/Pleasant Valley,3293,East 2nd/Pedernales,5
23374882,Local365,19437,2021-01-02 15:04:01 UTC,3293.0,East 2nd/Pedernales,4062,Lakeshore/Pleasant Valley,5
23431885,Local365,342,2021-01-19 10:29:41 UTC,3790.0,Lake Austin Blvd/Deep Eddy,4050,5th/Campbell,4
23369810,Local365,451,2021-01-01 12:08:32 UTC,2823.0,East 5th/Broadway @ Capital Metro HQ,4062,Lakeshore/Pleasant Valley,13
23458858,Local365,19688,2021-01-27 17:15:40 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,12
23442084,Local365,1471,2021-01-22 16:59:16 UTC,4050.0,5th/Campbell,3685,9th/Henderson,15
23467471,Local365,18971,2021-01-30 13:16:02 UTC,3291.0,11th/San Jacinto,3291,11th/San Jacinto,23
23390385,Local365,19529,2021-01-06 14:07:50 UTC,3291.0,11th/San Jacinto,3291,11th/San Jacinto,20
23389867,Local365,19529,2021-01-06 12:12:19 UTC,3291.0,11th/San Jacinto,3291,11th/San Jacinto,18
23436674,Local365,19631,2021-01-21 08:36:25 UTC,3685.0,9th/Henderson,3685,9th/Henderson,60
23395487,Local365,19285,2021-01-08 14:26:05 UTC,4051.0,10th/Red River,4057,6th/Chalmers ,31
23463879,Local365,19177,2021-01-29 13:38:15 UTC,3685.0,9th/Henderson,4059,Nash Hernandez/East @ RBJ South,49
23421503,Local365,16288,2021-01-16 18:56:43 UTC,3660.0,East 6th/Medina,4050,5th/Campbell,21
23420169,Local365,975,2021-01-16 15:24:24 UTC,3790.0,Lake Austin Blvd/Deep Eddy,4050,5th/Campbell,5
23472134,Local365,911,2021-01-31 11:55:00 UTC,3790.0,Lake Austin Blvd/Deep Eddy,3791,Lake Austin/Enfield,10
23469658,Local365,369G,2021-01-30 18:03:36 UTC,3790.0,Lake Austin Blvd/Deep Eddy,4050,5th/Campbell,6
23374367,Local31,17449,2021-01-02 13:54:26 UTC,4055.0,11th/Salina ,4047,8th/Lavaca,9
23386724,Local31,19918,2021-01-05 12:17:51 UTC,3291.0,11th/San Jacinto,2561,12th/San Jacinto @ State Capitol Visitors Garage,40
23408347,Local31,21648,2021-01-13 14:26:54 UTC,3685.0,9th/Henderson,3685,9th/Henderson,23
23404059,Local31,21648,2021-01-11 17:47:41 UTC,3685.0,9th/Henderson,3685,9th/Henderson,23
23386787,U.T. Student Membership,16935,2021-01-05 12:37:32 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,25
23409721,Local365,19085,2021-01-13 15:46:25 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,59
23409718,Local365,19730,2021-01-13 15:46:12 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,59
23376382,Local31,1543,2021-01-02 18:35:28 UTC,4048.0,South Congress @ Bouldin Creek,4059,Nash Hernandez/East @ RBJ South,16
23448759,Local31,1596,2021-01-24 16:19:18 UTC,2823.0,East 5th/Broadway @ Capital Metro HQ,2823,East 5th/Broadway @ Capital Metro HQ,56
23424431,Local31,220,2021-01-17 14:23:37 UTC,4062.0,Lakeshore/Pleasant Valley,4048,South Congress @ Bouldin Creek,16
23468653,Local365,19476,2021-01-30 15:53:14 UTC,3293.0,East 2nd/Pedernales,3293,East 2nd/Pedernales,48
23377690,3-Day Weekender,19328,2021-01-03 10:04:54 UTC,4047.0,8th/Lavaca,2568,East 11th/Victory Grill,54
23370199,24 Hour Walk Up Pass,451,2021-01-01 13:27:46 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,19
23370869,Single Trip (Pay-as-you-ride),1641,2021-01-01 15:20:51 UTC,2823.0,East 5th/Broadway @ Capital Metro HQ,2823,East 5th/Broadway @ Capital Metro HQ,68
23371118,24 Hour Walk Up Pass,1639,2021-01-01 15:53:57 UTC,4059.0,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,71
23371141,Pay-as-you-ride,206,2021-01-01 15:57:34 UTC,4059.0,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,59
23371138,24 Hour Walk Up Pass,18532,2021-01-01 15:57:23 UTC,4059.0,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,59
23373196,24 Hour Walk Up Pass,285,2021-01-02 10:40:43 UTC,4060.0,Red River/Cesar Chavez @ The Fairmont,4060,Red River/Cesar Chavez @ The Fairmont,53
23371600,Local31,287G,2021-01-01 17:02:45 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,37
23372300,24 Hour Walk Up Pass,375G,2021-01-01 22:03:11 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,76
23374971,Explorer,863,2021-01-02 15:13:07 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,182
23375131,Explorer,3025,2021-01-02 15:33:06 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,162
23375071,Explorer,19865,2021-01-02 15:23:37 UTC,2568.0,East 11th/Victory Grill,4051,10th/Red River,19
23375217,Explorer,19171,2021-01-02 15:41:23 UTC,4062.0,Lakeshore/Pleasant Valley,4062,Lakeshore/Pleasant Valley,154
